gene_symbol,14-3-3,actin,autophagosome,centrosome,endo_lysosome,endosome,ER,ER_Golgi,Golgi,HSP70 chaperone,HSP90 chaperone,lysosome,mitochondria,p-body,peroxisome,plasma membrane,proteasome,recycling endosome,ribosome,stress granule
ADSL,7485,4029,501,7620,7189,5922,1299,2150,5462,5662,958,4706.5,1318,3512,2374,7193.5,3845,1371,1820,1073
ADSS2,1094,3829,1394,2908,374,5028,3559,5349,2929,1658,5994,7695,2075,7680,7864,7226,3444,3820.5,3226,2483
AEBP2,4937,4707,5935,2399,6771,6046,6116,2090,1579,4378,6221,3678,4874,2604,2606,5977.5,6358,5003,6643,4536.5
AF-4,7398,3739,5550,1429,5943,5335.5,3330,6212,6868,1893,5503,7045.5,4643,2343,4476,5535,8057,6152.5,2569,4973
AFAP1,4875,5281,4113.5,7803,2634,7400,4635.5,1291.5,3256,1631,3005,1167,4607,713,3482,8224,2695,393,3210,3261.5
AFDN,5485,4879,4084,5290,5227,4449,2820,1978,5802,3169,4241.5,4182,1972,6221,5426,7350,2506,4251,1362.5,1355
AFF4,2801,6354,6389.5,1756,1061,7131,5677,2989,1536,4210,3309,2592,4389,3168,2328,5745,6017,312.5,4754,3567
AFG1L,5884,1686,6113,1178,4128,2820.5,3930,3450,5973,3807,7435,5551.5,7811,3219,2017,3542,2850,4017,3253,5367
AFG2A,7016,3908,2830.5,2418,2176,4553,5340,4272,1482,7412,6813,176,2663,7325,4481,5397,8202,816.5,8100,2298
AFG2B,6161,4290,5002,6330,7183,1514,3617,1151,1130,6154,5311,2201.5,6762,827,5344,4900,1569,1021,8217,3590.5
AFG3L2,4055,270,6922,3004,1349,686.5,7506,4850.5,3356,2464,7463,5666.5,7443,535,7644,820,919,7509,4140,4853.5
AFTPH,1822,2594,3810,4439,8160,7483,2829,6843,7058,3920,2387,4234,5869,1335,816,293.5,5402,4376,2145,2240
AGA,305,5874,4333.5,873,7533,8188,4840,6166.5,739,3441,3415,6372,3992,2400,546,2644,5962,4554,5831,5928
AGAP1,4606,4148.5,1265,5662,4276.5,1955,2363,3111,1339,3073,2445,2109,1169.5,6734,1965.5,7225,4698,2030.5,2970,4456
AGAP3,8092,7776,407,7333,2670,1730,196,3373,431,7347,1341,503,1138,6341.5,2522,6754,6572,35,5596,6482
AGFG1,5897,6778,1757,7117,4375,7607,373,3196,5504,6128,270,3777.5,178,4781.5,5983,8186,351,4416.5,520,565.5
AGFG2,4540,6754,5047,2520,6862,5598.5,2439,6535,6902.5,7170,3454,4674,6127,3216,3597,5690,7593,3067,5624,5062.5
AGGF1,5472,4622,1662.5,6356,6529,7466.5,2944,2765,6536,3986,4170,4969,2456,5436.5,2340,2937,4979,1372.5,6740,5377
AGK,1699,2398,7623,2050,848,854,7580,6515,2355.5,6254,7713,5329,7871,776,7474,985,2051,7399.5,6156,7307
